,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-21,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-22,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-23,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-24,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-25,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-26,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-27,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-28,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-29,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-30,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-03-31,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-01,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-02,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-03,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-04,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-06,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-07,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-08,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-09,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-10,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-11,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-12,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-13,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-14,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-15,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-16,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-17,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-18,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-19,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-20,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-21,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-22,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-23,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-24,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-25,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-26,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-27,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-28,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-29,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-04-30,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-01,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-02,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-03,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-04,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-05,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-06,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-07,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-08,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-09,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-10,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-11,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-12,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-13,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-14,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-15,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-16,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-18,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-19,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-20,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-21,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-22,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-23,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-24,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-25,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-26,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-27,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-28,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-29,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-30,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-05-31,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
2024-06-01,구일,1,하행,구로,,,,,,,,,,,,,,,,,,,
