,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-21,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-22,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-23,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-24,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-25,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-26,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-27,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-28,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-29,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-30,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-03-31,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-01,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-02,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-03,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-04,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-06,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-07,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-08,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-09,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-10,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-11,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-12,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-13,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-20,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-21,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-22,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-23,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-24,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-25,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-26,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-27,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-28,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-29,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-04-30,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-01,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-02,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-03,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-04,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-05,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-06,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-07,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-08,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-09,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-10,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-11,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-12,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-13,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-14,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-15,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-16,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-18,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-19,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-20,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-21,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-22,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-23,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-24,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
2024-05-25,길음,4,하행,미아사거리 ,,,,,,,,,,,,,,,,,,,
