,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,까치산,2,내선,종점,,,,,,,,,,,,,,,,,,,
