,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,남태령,4,상행,종점,,,,,,,,,,,,,,,,,,,
