,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-21,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-22,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-23,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-24,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-25,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-26,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-27,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-28,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-29,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-30,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-03-31,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-01,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-02,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-03,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-04,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-06,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-07,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-08,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-09,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-10,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-11,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-12,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-13,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-14,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-15,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-16,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-17,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-18,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-19,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-20,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-21,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-22,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-23,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-24,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-25,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-26,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-27,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-28,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-29,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
2024-04-30,당고개,4,하행,별내별가람,,,,,,,,,,,,,,,,,,,
