,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,마천,5,상행,종점,,,,,,,,,,,,,,,,,,,
