,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,모란,8,상행,종점,,,,,,,,,,,,,,,,,,,
