,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-21,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-22,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-23,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-24,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-25,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-26,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-27,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-28,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-29,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-30,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-31,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-01,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-02,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-03,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-04,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-06,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-07,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-08,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-09,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-10,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-11,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-12,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-13,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-20,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-21,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-22,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-23,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-24,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-25,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-26,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-27,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-28,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-29,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-30,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-01,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-02,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-03,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-04,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-05,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-06,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-07,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-08,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-09,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-10,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-11,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-12,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-13,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-14,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-15,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-16,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-18,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-19,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-20,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-21,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-22,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-23,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-24,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-25,미사,5,상행,하남풍산,,,,,,,,,,,,,,,,,,,
