,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,방화,5,하행,종점,,,,,,,,,,,,,,,,,,,
