,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-21,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-22,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-23,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-24,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-25,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-26,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-27,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-28,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-29,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-30,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-03-31,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-01,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-02,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-03,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-04,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-06,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-07,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-08,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-09,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-10,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-11,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-12,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-13,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-14,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-15,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-16,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-17,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-18,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-19,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-20,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-21,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-22,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-23,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-24,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-25,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-26,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-27,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-28,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-29,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-04-30,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-01,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-02,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-03,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-04,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-05,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-06,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-07,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-08,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-09,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-10,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-11,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-12,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-13,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-14,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-15,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-16,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-18,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-19,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-20,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-21,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-22,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-23,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-24,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-25,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-26,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-27,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-28,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-29,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-30,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-05-31,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
2024-06-01,신도림,2,외선,도림천,,,,,,,,,,,,,,,,,,,
