,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-20,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-21,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-21,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-22,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-22,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-23,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-23,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-24,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-24,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-25,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-25,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-26,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-26,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-27,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-27,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-28,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-28,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-29,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-29,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-30,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-30,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-31,역촌,6,상행,응암순환(상선),,,,,,,,,,,,,,,,,,,
2024-03-31,역촌,6,하행,응암순환(상선),,,,,,,,,,,,,,,,,,,
