,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,오금,3,상행,종점,,,,,,,,,,,,,,,,,,,
