,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,온수,7,상행,종점,,,,,,,,,,,,,,,,,,,
