,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-21,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-22,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-23,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-24,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-25,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-26,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-27,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-28,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-29,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-30,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-03-31,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-01,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-02,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-03,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-04,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-06,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-07,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-08,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-09,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-10,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-11,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-12,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-13,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-14,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-15,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-16,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-17,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-18,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-19,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-20,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-21,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-22,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-23,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-24,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-25,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-26,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-27,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-28,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-29,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-04-30,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-01,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-02,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-03,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-04,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-05,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-06,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-07,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-08,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-09,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-10,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-11,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-12,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-13,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-14,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-15,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-16,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-18,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-19,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-20,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-21,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-22,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-23,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-24,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-25,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-26,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-27,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-28,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-29,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-30,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-05-31,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
2024-06-01,용답,2,외선,성수,,,,,,,,,,,,,,,,,,,
