,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-21,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-22,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-23,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-24,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-25,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-26,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-27,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-28,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-29,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-30,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-03-31,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-01,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-02,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-03,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-04,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-06,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-07,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-08,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-09,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-10,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-11,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-12,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-13,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-20,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-21,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-22,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-23,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-24,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-25,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-26,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-27,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-28,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-29,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-04-30,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-01,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-02,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-03,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-04,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-05,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-06,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-07,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-08,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-09,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-10,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-11,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-12,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-13,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-14,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-15,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-16,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-18,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-19,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-20,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-21,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-22,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-23,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-24,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
2024-05-25,응암순황(상선),6,상행,구산,,,,,,,,,,,,,,,,,,,
