,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-21,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-22,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-23,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-24,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-25,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-26,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-27,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-28,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-29,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-30,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-03-31,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-01,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-02,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-03,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-04,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-06,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-07,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-08,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-09,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-10,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-11,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-12,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-13,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-20,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-21,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-22,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-23,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-24,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-25,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-26,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-27,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-28,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-29,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-04-30,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-01,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-02,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-03,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-04,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-05,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-06,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-07,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-08,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-09,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-10,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-11,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-12,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-13,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-14,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-15,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-16,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-18,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-19,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-20,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-21,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-22,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-23,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-24,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
2024-05-25,장암,7,하행,종점,,,,,,,,,,,,,,,,,,,
