,역명,호선,상하행,이전역,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-03-20,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-21,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-22,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-23,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-24,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-25,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-26,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-27,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-28,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-29,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-30,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-03-31,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-01,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-02,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-03,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-04,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-06,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-07,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-08,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-09,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-10,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-11,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-12,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-13,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-20,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-21,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-22,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-23,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-24,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-25,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-26,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-27,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-28,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-29,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-04-30,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-01,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-02,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-03,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-04,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-05,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-06,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-07,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-08,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-09,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-10,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-11,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-12,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-13,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-14,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-15,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-16,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-18,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-19,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-20,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-21,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-22,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-23,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-24,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
2024-05-25,하남시청,5,하행,하남풍산,,,,,,,,,,,,,,,,,,,
